,Company,TypeName,Ram,OpSys,Weight,Price,IPS,Touchscreen,Display,PPI,HDD,SSD,Hybrid,Flash_Storage,Gpu_brand,Cpu_name
0,Apple,Ultrabook,8,Mac,1.37,71378,1,0,Retina Display,226,0,128,0,0,Intel,Intel Core i5
1,Apple,Ultrabook,8,Mac,1.34,47895,0,0,HD,127,0,0,0,128,Intel,Intel Core i5
2,HP,Notebook,8,Linux/Android/Chrome,1.86,30636,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
3,Apple,Ultrabook,16,Mac,1.83,135195,1,0,Retina Display,220,0,512,0,0,AMD,Intel Core i7
4,Apple,Ultrabook,8,Mac,1.37,96095,1,0,Retina Display,226,0,256,0,0,Intel,Intel Core i5
5,Acer,Notebook,4,Windows,2.1,21312,0,0,HD,100,500,0,0,0,AMD,AMD
6,Apple,Ultrabook,16,Mac,2.04,114017,1,0,Retina Display,220,0,0,0,256,Intel,Intel Core i7
7,Apple,Ultrabook,8,Mac,1.34,61735,0,0,HD,127,0,0,0,256,Intel,Intel Core i5
8,Asus,Ultrabook,16,Windows,1.3,79653,0,0,Full HD,157,0,512,0,0,Nvidia,Intel Core i7
9,Acer,Ultrabook,8,Windows,1.6,41025,1,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
10,HP,Notebook,4,Linux/Android/Chrome,1.86,20986,0,0,HD,100,500,0,0,0,Intel,Intel Core i5
11,HP,Notebook,4,Linux/Android/Chrome,1.86,18381,0,0,Full HD,141,500,0,0,0,Intel,Intel Core i3
12,Apple,Ultrabook,16,Mac,1.83,130001,1,0,Retina Display,220,0,256,0,0,AMD,Intel Core i7
13,Dell,Notebook,4,Windows,2.2,26581,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i3
14,Apple,Ultrabook,8,Mac,0.92,67260,1,0,Retina Display,226,0,256,0,0,Intel,Intel
15,Apple,Ultrabook,8,Mac,1.37,80908,1,0,Retina Display,226,0,256,0,0,Intel,Intel Core i5
16,Dell,Notebook,8,Windows,2.2,39693,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i7
17,Apple,Ultrabook,16,Mac,1.83,152274,1,0,Retina Display,220,0,512,0,0,AMD,Intel Core i7
18,Lenovo,Notebook,8,Linux/Android/Chrome,2.2,26586,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i3
19,Dell,Ultrabook,8,Windows,1.22,52161,1,1,Full HD,165,0,128,0,0,Intel,Intel Core i5
20,Asus,Netbook,2,Windows,0.98,10224,0,0,HD,135,0,0,0,32,Intel,Intel
21,Lenovo,Gaming,8,Windows,2.5,53226,1,0,Full HD,141,1000,128,0,0,Nvidia,Intel Core i5
22,HP,Notebook,4,Linux/Android/Chrome,1.86,13746,0,0,HD,100,500,0,0,0,AMD,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,43636,0,1,Full HD,165,0,256,0,0,Intel,Intel Core i5
24,HP,Ultrabook,8,Windows,1.91,35111,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i7
25,Dell,Notebook,4,Windows,2.3,22305,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
26,Apple,Ultrabook,8,Mac,1.35,58554,0,0,HD,127,0,0,0,128,Intel,Intel Core i5
27,Dell,Notebook,8,Windows,2.2,42624,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i5
28,Dell,Ultrabook,8,Windows,1.88,69157,0,0,Full HD,141,0,512,0,0,Intel,Intel Core i7
29,HP,Notebook,8,Windows,2.5,47738,0,0,Full HD,127,1000,0,0,0,Nvidia,Intel Core i5
30,Chuwi,Notebook,4,Windows,1.89,13053,0,0,Full HD,141,0,0,0,64,Intel,Intel
31,Asus,Notebook,2,Windows,1.65,10602,0,0,HD,111,0,0,0,32,AMD,AMD
32,HP,Notebook,4,Windows,2.71,23389,0,0,Full HD,127,500,0,0,0,AMD,AMD
33,Dell,Ultrabook,16,Windows,1.2,99580,0,1,Quad HD+,276,0,512,0,0,Intel,Intel Core i7
34,Apple,Ultrabook,8,Mac,1.35,53173,0,0,HD,127,0,0,0,256,Intel,Intel Core i5
35,Lenovo,Notebook,4,Windows,1.44,13266,0,0,HD,111,0,0,0,64,Intel,Intel
36,Acer,Notebook,4,Linux/Android/Chrome,2.1,19553,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
37,Dell,Notebook,8,Windows,2.8,52161,1,0,Full HD,127,1000,128,0,0,AMD,Intel Core i5
38,HP,Notebook,4,Windows,1.86,26037,0,0,HD,100,1000,0,0,0,Intel,Intel Core i5
39,HP,Notebook,8,Windows,2.1,46833,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
40,Asus,Notebook,4,Linux/Android/Chrome,2.0,20725,0,0,Full HD,141,1000,0,0,0,Intel,Intel Core i3
41,Dell,Gaming,16,Windows,2.65,79866,1,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
42,Asus,Notebook,8,Linux/Android/Chrome,2.3,27864,0,0,HD,100,1000,0,0,0,Nvidia,Intel Core i5
43,Acer,Notebook,4,Windows,2.2,36336,1,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
44,Dell,2 in 1 Convertible,12,Windows,2.77,53226,0,1,Full HD,127,1000,0,0,0,Nvidia,Intel Core i5
45,Apple,Ultrabook,8,Mac,1.37,75604,1,0,Retina Display,226,0,256,0,0,Intel,Intel Core i5
46,Lenovo,Notebook,4,Linux/Android/Chrome,2.2,19660,0,0,HD,100,0,128,0,0,Intel,Intel Core i3
47,Asus,Gaming,8,Windows,3.2,69210,0,0,Full HD,127,1000,256,0,0,AMD,AMD
48,Dell,Notebook,4,Windows,2.3,34045,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i5
49,Asus,Notebook,4,Windows,2.8,24828,0,0,HD,90,1000,0,0,0,Nvidia,Intel
50,Lenovo,2 in 1 Convertible,4,Linux/Android/Chrome,0.69,16996,1,1,HD,224,0,0,0,64,Intel,Intel
51,Acer,Notebook,8,Windows,2.2,44808,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
52,HP,Notebook,4,Windows,1.86,21231,0,0,Full HD,141,0,256,0,0,AMD,AMD
53,HP,Notebook,8,Windows,1.49,58767,0,0,Full HD,165,0,512,0,0,Intel,Intel Core i7
54,Acer,Notebook,4,Windows,2.4,20459,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
55,Dell,Notebook,8,Windows,2.13,40908,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i7
56,HP,Notebook,4,Windows,1.91,23389,0,0,Full HD,141,0,128,0,0,Intel,Intel Core i3
57,Asus,Notebook,4,Windows,2.0,31232,0,0,HD,100,0,256,0,0,Intel,Intel Core i5
58,MSI,Gaming,16,Windows,2.43,130482,0,0,Full HD,127,2000,256,0,0,Nvidia,Intel Core i7
59,Asus,Notebook,4,Linux/Android/Chrome,2.0,22111,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i3
60,Dell,Notebook,16,Windows,2.8,69210,0,0,Full HD,127,2000,256,0,0,AMD,Intel Core i7
61,Dell,Ultrabook,8,Windows,1.7,46833,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
62,Lenovo,Notebook,8,Linux/Android/Chrome,1.7,31914,1,0,Full HD,157,0,256,0,0,Intel,Intel Core i3
63,Asus,Notebook,8,Windows,1.4,50136,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
64,HP,Notebook,8,Windows,1.86,36763,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
65,Asus,Ultrabook,16,Windows,1.8,105654,0,0,Full HD,141,0,512,0,0,Nvidia,Intel Core i7
66,HP,Notebook,4,Windows,1.86,23373,0,0,HD,100,500,0,0,0,AMD,Intel Core i3
67,HP,Notebook,4,Windows,1.44,12201,0,0,HD,111,0,32,0,0,Intel,Intel
68,Lenovo,Notebook,4,Windows,1.9,29250,0,0,Full HD,141,1000,0,0,0,Intel,Intel Core i5
69,Asus,Gaming,12,Linux/Android/Chrome,3.0,50562,0,0,Full HD,127,1000,0,0,0,Nvidia,Intel Core i7
70,Microsoft,Ultrabook,4,Windows,1.252,58021,0,1,HD,200,0,128,0,0,Intel,Intel Core i5
71,Dell,Ultrabook,8,Windows,1.4,50882,1,0,Full HD,165,0,256,0,0,AMD,Intel Core i7
72,Dell,Notebook,8,Windows,2.2,46353,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i7
73,MSI,Gaming,8,Windows,2.7,58341,0,0,Full HD,127,1000,128,0,0,Nvidia,Intel Core i5
74,Acer,Notebook,8,Windows,2.1,20725,0,0,HD,111,1000,0,0,0,Intel,Intel Core i3
75,Asus,Gaming,8,Windows,2.2,50562,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i7
76,Lenovo,Notebook,8,Linux/Android/Chrome,2.2,27652,0,0,Full HD,141,2000,0,0,0,Intel,Intel Core i5
77,Dell,Notebook,8,Windows,2.02,45554,0,0,Full HD,141,1000,128,0,0,Intel,Intel Core i7
78,Acer,Notebook,4,Windows,2.2,28238,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i3
79,HP,Notebook,8,Windows,2.5,52054,0,0,Full HD,127,1000,128,0,0,Nvidia,Intel Core i5
80,Dell,Ultrabook,8,Windows,1.88,58403,1,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
81,Apple,Ultrabook,8,Mac,0.92,80452,1,0,Retina Display,226,0,512,0,0,Intel,Intel Core i5
82,HP,Notebook,8,Windows,1.63,45820,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
83,Lenovo,Notebook,4,Windows,2.2,21258,0,0,Full HD,141,0,128,0,0,AMD,AMD
84,Acer,Notebook,4,Windows,2.1,21045,0,0,HD,100,1000,0,0,0,AMD,AMD
85,Dell,Gaming,16,Windows,2.65,71874,1,0,Full HD,141,1000,128,0,0,Nvidia,Intel Core i7
86,HP,Ultrabook,8,Windows,1.83,37242,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
87,HP,Notebook,8,Windows,1.96,31914,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
88,Asus,Gaming,16,Windows,2.2,77202,1,0,Full HD,141,1000,128,0,0,Nvidia,Intel Core i7
89,Dell,Ultrabook,8,Windows,1.21,87858,1,0,Full HD,165,0,256,0,0,Intel,Intel Core i7
90,Asus,Gaming,8,Windows,2.45,37242,0,0,Full HD,141,1000,0,0,0,AMD,AMD
91,Acer,Notebook,8,Windows,2.2,36709,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i7
92,HP,Notebook,16,Windows,1.49,63776,0,0,Full HD,165,0,512,0,0,Intel,Intel Core i7
93,Dell,Gaming,8,Windows,2.65,63669,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
94,Asus,Ultrabook,8,Windows,1.25,55890,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i7
95,Acer,2 in 1 Convertible,8,Windows,1.5,45128,1,1,Full HD,165,0,256,0,0,Intel,Intel Core i5
96,Dell,Notebook,8,Linux/Android/Chrome,2.2,31962,0,0,Full HD,141,1000,0,0,0,AMD,Intel Core i7
97,Dell,Notebook,4,Linux/Android/Chrome,2.2,25840,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i3
98,Asus,Notebook,6,Windows,2.0,30742,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i3
99,HP,Gaming,12,Windows,2.62,66546,1,0,Full HD,141,1000,128,0,0,Nvidia,Intel Core i7
100,HP,Notebook,8,Windows,1.91,38308,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i7
101,HP,Notebook,4,Windows,2.1,18594,0,0,Full HD,141,500,0,0,0,AMD,AMD
102,Dell,Notebook,8,Linux/Android/Chrome,2.2,34472,0,0,Full HD,141,1000,0,0,0,AMD,Intel Core i5
103,HP,Ultrabook,8,Windows,1.38,59620,1,0,Full HD,165,0,256,0,0,Nvidia,Intel Core i7
104,Microsoft,Ultrabook,8,Windows,1.252,71395,0,1,HD,200,0,256,0,0,Intel,Intel Core i5
105,HP,Notebook,6,Windows,1.58,35111,1,0,Full HD,157,0,256,0,0,Nvidia,Intel Core i5
106,Lenovo,Notebook,4,Windows,1.85,22105,0,0,Full HD,141,1000,0,0,0,Intel,Intel Core i3
107,Asus,Ultrabook,8,Windows,1.3,63563,1,0,Full HD,157,0,256,0,0,Nvidia,Intel Core i7
108,MSI,Gaming,16,Windows,2.2,69210,0,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
109,Lenovo,Notebook,8,Windows,1.58,78854,1,0,Full HD,157,0,256,0,0,Intel,Intel Core i7
110,Asus,Ultrabook,16,Windows,1.5,67239,0,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
111,Dell,Ultrabook,8,Windows,1.23,73473,0,1,Quad HD+,276,0,256,0,0,Intel,Intel Core i7
112,Lenovo,2 in 1 Convertible,8,Windows,1.37,74538,1,1,Full HD,165,0,256,0,0,Intel,Intel Core i5
113,HP,Notebook,4,Windows,1.63,38468,1,0,HD,111,500,0,0,0,Intel,Intel Core i5
114,Dell,Ultrabook,8,Windows,1.21,86793,1,0,Full HD,165,0,256,0,0,Intel,Intel Core i5
115,HP,2 in 1 Convertible,8,Windows,1.26,74538,1,1,Full HD,165,0,256,0,0,Intel,Intel Core i5
116,HP,Notebook,8,Windows,1.63,57755,0,0,Full HD,157,0,512,0,0,Intel,Intel Core i7
117,Dell,Notebook,8,Windows,2.16,60223,1,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
118,Asus,Notebook,4,Windows,2.0,30049,0,0,Full HD,127,1000,0,0,0,Nvidia,Intel Core i3
119,Asus,Notebook,8,Windows,1.7,59567,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
120,Acer,Notebook,6,Windows,2.1,25521,1,1,Full HD,141,1000,0,0,0,Intel,Intel Core i3
121,MSI,Gaming,16,Windows,1.8,119427,0,0,Full HD,141,2000,256,0,0,Nvidia,Intel Core i7
122,Lenovo,Notebook,8,Linux/Android/Chrome,2.2,33513,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
123,HP,Notebook,16,Windows,2.5,67718,0,0,Full HD,127,0,512,0,0,Nvidia,Intel Core i7
124,Acer,Notebook,4,Windows,2.1,24029,0,0,HD,100,0,256,0,0,AMD,AMD
125,HP,Notebook,4,Linux/Android/Chrome,1.86,13799,0,0,HD,100,500,0,0,0,Intel,Intel
126,HP,Notebook,8,Windows,1.63,43263,0,0,Full HD,157,1000,0,0,0,Intel,Intel Core i5
127,Asus,Notebook,4,Windows,1.65,14811,0,0,HD,111,0,64,0,0,AMD,AMD
128,Dell,Notebook,16,Windows,2.8,74378,0,0,Full HD,127,2000,256,0,0,AMD,Intel Core i7
129,HP,Notebook,8,Windows,2.5,49443,0,0,Full HD,127,0,256,0,0,Intel,Intel Core i5
130,Dell,Notebook,8,Windows,2.36,34045,0,0,HD,100,1000,0,0,0,AMD,Intel Core i5
131,Dell,Notebook,4,Windows,2.2,23922,0,0,Full HD,141,1000,0,0,0,AMD,Intel Core i3
132,Acer,Ultrabook,8,Windows,1.6,47099,1,0,Full HD,157,0,256,0,0,Intel,Intel Core i7
133,Acer,Notebook,4,Windows,2.2,30476,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i3
134,HP,Notebook,8,Windows,2.05,31861,0,0,HD,100,1000,0,0,0,Intel,Intel Core i7
135,HP,Notebook,8,Windows,1.63,52640,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i7
136,Lenovo,Notebook,4,Linux/Android/Chrome,1.9,13445,0,0,HD,100,1000,0,0,0,Intel,Intel
137,Asus,Gaming,8,Windows,3.0,49976,0,0,Full HD,127,1000,128,0,0,Nvidia,Intel Core i5
138,Lenovo,Notebook,4,Linux/Android/Chrome,2.2,26586,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i5
139,HP,Notebook,4,Windows,1.32,37242,1,0,Full HD,165,0,256,0,0,Intel,Intel Core i5
140,Acer,Notebook,4,Windows,3.0,34898,1,0,Full HD,127,1000,0,0,0,Nvidia,Intel Core i3
141,Lenovo,Notebook,8,Windows,1.75,59461,1,0,Full HD,157,0,256,0,0,AMD,Intel Core i5
142,Lenovo,Gaming,8,Linux/Android/Chrome,2.4,46300,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
143,Toshiba,Notebook,4,Windows,2.1,32074,0,0,HD,100,500,0,0,0,Intel,Intel Core i5
144,HP,Notebook,4,Windows,1.86,19660,0,0,HD,100,0,256,0,0,AMD,AMD
145,Asus,Ultrabook,8,Windows,1.25,58554,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i7
146,HP,Ultrabook,8,Windows,0.97,107305,1,1,4k,352,0,512,0,0,Intel,Intel
147,Asus,Notebook,4,Windows,2.0,18328,0,0,Full HD,141,1000,0,0,0,Intel,Intel
148,MSI,Gaming,16,Windows,2.9,108105,0,0,Full HD,127,1000,256,0,0,Nvidia,Intel Core i7
149,Acer,Notebook,4,Windows,2.1,23816,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
150,Dell,Gaming,16,Windows,2.56,66560,0,0,Full HD,141,0,512,0,0,Nvidia,Intel Core i7
151,Dell,Gaming,8,Windows,2.62,47898,0,0,Full HD,141,0,0,1000,0,Nvidia,Intel Core i7
152,Lenovo,Notebook,4,Windows,1.9,26533,0,0,HD,100,0,128,0,0,Intel,Intel Core i5
153,MSI,Gaming,16,Windows,2.8,100699,0,0,Full HD,127,1000,256,0,0,Nvidia,Intel Core i7
154,HP,Ultrabook,4,Windows,1.48,57648,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
155,HP,Notebook,6,Windows,1.91,32980,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i5
156,Lenovo,2 in 1 Convertible,4,Windows,1.74,33513,1,1,Full HD,157,0,256,0,0,Intel,Intel Core i3
157,Asus,2 in 1 Convertible,8,Windows,1.1,70063,0,1,Full HD,165,0,256,0,0,Intel,Intel Core i5
158,Dell,2 in 1 Convertible,8,Windows,1.56,55890,0,1,Full HD,141,0,256,0,0,Intel,Intel Core i7
159,Toshiba,Notebook,4,Windows,2.1,23816,0,0,HD,100,500,0,0,0,Intel,Intel Core i3
160,Asus,Notebook,4,Windows,2.03,21471,0,0,HD,100,1000,0,0,0,AMD,AMD
161,Acer,Notebook,4,Windows,3.0,42890,1,0,Full HD,127,0,256,0,0,Nvidia,Intel Core i5
162,Dell,Notebook,8,Windows,2.13,38787,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i5
163,Lenovo,Gaming,16,Windows,2.5,57489,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
164,Acer,Notebook,4,Windows,2.1,18541,0,0,HD,100,1000,0,0,0,Intel,Intel
165,MSI,Gaming,16,Windows,2.4,95850,1,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
166,Acer,Notebook,4,Windows,2.1,19367,0,0,HD,100,1000,0,0,0,Intel,Intel
167,Dell,Gaming,8,Windows,2.56,56502,0,0,Full HD,141,1000,128,0,0,Nvidia,Intel Core i7
168,Acer,Notebook,8,Windows,3.0,45501,1,0,Full HD,127,0,256,0,0,Nvidia,Intel Core i5
169,HP,Notebook,4,Windows,1.49,40173,1,0,Full HD,165,500,0,0,0,Intel,Intel Core i5
170,Huawei,Ultrabook,8,Windows,1.05,71874,1,0,Full HD,199,0,256,0,0,Intel,Intel Core i5
171,HP,Notebook,6,Windows,2.71,37242,1,0,Full HD,127,2000,0,0,0,AMD,Intel Core i5
172,Lenovo,Notebook,4,Linux/Android/Chrome,2.2,16463,0,0,HD,100,500,0,0,0,AMD,AMD
173,Toshiba,Notebook,4,Windows,2.0,26053,0,0,HD,100,500,0,0,0,Intel,Intel Core i3
174,HP,Notebook,8,Windows,2.5,49177,0,0,Full HD,127,0,256,0,0,Nvidia,Intel Core i5
175,Dell,Notebook,8,Windows,2.3,24455,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
176,Acer,Notebook,4,Windows,2.1,23922,0,0,HD,100,0,128,0,0,Intel,Intel Core i3
177,MSI,Gaming,32,Windows,4.4,149130,0,0,Full HD,119,1000,512,0,0,Nvidia,Intel Core i7
178,Lenovo,Notebook,8,Windows,1.9,43316,0,0,Full HD,141,1000,128,0,0,AMD,Intel Core i5
179,HP,2 in 1 Convertible,8,Windows,1.29,79866,1,1,4k,331,0,256,0,0,Intel,Intel Core i5
180,Dell,Notebook,16,Linux/Android/Chrome,2.02,55890,0,0,Full HD,141,2000,256,0,0,AMD,Intel Core i7
181,Dell,Ultrabook,8,Windows,1.23,74538,0,0,Full HD,165,0,256,0,0,Intel,Intel Core i5
182,Lenovo,2 in 1 Convertible,16,Windows,1.4,98514,1,1,4k,316,0,512,0,0,Intel,Intel Core i7
183,Toshiba,Notebook,8,Windows,2.0,42251,0,0,HD,100,0,128,0,0,Intel,Intel Core i5
184,Xiaomi,Notebook,8,Linux/Android/Chrome,1.95,63882,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
185,Dell,Notebook,16,Windows,2.77,82530,0,1,Full HD,127,0,512,0,0,Nvidia,Intel Core i7
186,Dell,Notebook,16,Windows,2.06,127712,0,1,4k,282,0,512,0,0,Nvidia,Intel Core i7
187,Lenovo,Gaming,8,Linux/Android/Chrome,2.4,41505,1,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
188,Acer,Ultrabook,8,Windows,1.12,52693,1,0,Full HD,165,0,256,0,0,Intel,Intel Core i5
189,Dell,Notebook,8,Windows,2.8,57808,0,0,Full HD,127,1000,128,0,0,AMD,Intel Core i7
190,Lenovo,2 in 1 Convertible,16,Windows,1.42,150462,0,1,HD,209,0,1000,0,0,Intel,Intel Core i7
191,Vero,Notebook,4,Windows,1.3,13852,1,0,Full HD,157,0,0,0,32,Intel,Intel
192,Xiaomi,Ultrabook,8,Linux/Android/Chrome,1.3,53274,1,0,Full HD,165,0,256,0,0,Nvidia,Intel Core i5
193,Lenovo,Notebook,8,Linux/Android/Chrome,2.8,37189,0,0,HD,106,0,256,0,0,Nvidia,Intel Core i5
194,Dell,2 in 1 Convertible,8,Windows,1.62,44701,1,1,Full HD,165,1000,0,0,0,Intel,Intel Core i7
195,HP,Notebook,8,Windows,2.5,48697,1,0,Full HD,127,1000,0,0,0,Nvidia,Intel Core i5
196,Razer,Gaming,32,Windows,3.49,324954,0,1,4k,254,0,1000,0,0,Nvidia,Intel Core i7
197,HP,Notebook,8,Windows,1.49,51095,0,0,Full HD,165,0,512,0,0,Intel,Intel Core i5
198,HP,Gaming,16,Windows,3.35,73473,1,0,Full HD,127,1000,256,0,0,Nvidia,Intel Core i7
199,HP,Notebook,8,Windows,2.5,55677,0,0,Full HD,127,0,256,0,0,Nvidia,Intel Core i7
200,Dell,Gaming,16,Windows,2.65,98301,1,0,4k,282,1000,512,0,0,Nvidia,Intel Core i7
201,Lenovo,Notebook,4,Windows,2.1,26267,0,0,HD,100,0,128,0,0,Intel,Intel Core i5
202,Acer,Notebook,8,Windows,2.23,39533,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i7
203,Lenovo,Gaming,16,Windows,3.2,93186,1,0,Full HD,141,1000,512,0,0,Nvidia,Intel Core i7
204,Dell,Workstation,16,Windows,2.8,162770,0,0,4k,282,1000,256,0,0,Nvidia,Intel
205,Lenovo,Gaming,16,Linux/Android/Chrome,2.4,74485,0,0,Full HD,141,0,512,0,0,Nvidia,Intel Core i7
206,Dell,Notebook,6,Windows,2.3,23389,0,1,HD,100,1000,0,0,0,Intel,Intel Core i3
207,Dell,Ultrabook,8,Windows,1.21,103842,1,1,4k,331,0,256,0,0,Intel,Intel Core i7
208,Dell,Ultrabook,8,Windows,1.2,77202,0,0,Full HD,165,0,256,0,0,Intel,Intel Core i7
209,Lenovo,Notebook,8,Windows,2.2,31808,0,0,HD,100,0,256,0,0,Intel,Intel Core i5
210,Acer,Notebook,8,Linux/Android/Chrome,2.4,41505,0,0,Full HD,141,1000,0,0,0,Nvidia,Intel Core i7
211,Asus,Gaming,16,Windows,2.9,74964,0,0,Full HD,127,1000,256,0,0,Nvidia,Intel Core i7
212,HP,Notebook,4,Linux/Android/Chrome,2.1,18594,0,0,Full HD,141,500,0,0,0,Intel,Intel Core i3
213,Lenovo,Notebook,8,Linux/Android/Chrome,2.2,29250,0,0,Full HD,141,0,256,0,0,Intel,Intel Core i5
214,Huawei,Ultrabook,8,Windows,1.05,79866,1,0,Full HD,199,0,512,0,0,Intel,Intel Core i7
215,Dell,Ultrabook,8,Windows,1.4,49650,1,0,Full HD,165,0,256,0,0,AMD,Intel Core i7
216,Lenovo,Notebook,8,Linux/Android/Chrome,2.8,31381,0,0,HD,106,1000,0,0,0,Nvidia,Intel Core i5
217,HP,Notebook,8,Windows,1.63,54931,0,0,Full HD,157,0,256,0,0,Nvidia,Intel Core i7
218,Dell,Ultrabook,8,Windows,1.6,61218,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
219,Dell,2 in 1 Convertible,16,Windows,1.62,68145,0,1,Full HD,165,0,512,0,0,Intel,Intel Core i7
220,Dell,Notebook,8,Linux/Android/Chrome,2.2,36089,0,0,Full HD,141,0,256,0,0,AMD,Intel Core i5
221,Lenovo,2 in 1 Convertible,8,Windows,1.74,47898,1,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
222,Toshiba,Ultrabook,8,Windows,1.2,72620,0,0,Full HD,165,0,256,0,0,Intel,Intel Core i7
223,HP,Notebook,8,Windows,2.1,42304,0,0,Full HD,141,1000,0,0,0,Intel,Intel Core i5
224,Dell,Gaming,16,Windows,4.42,130873,1,0,Full HD,127,1000,256,0,0,Nvidia,Intel Core i7
225,Acer,Notebook,8,Windows,2.2,44328,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i7
226,Dell,Notebook,16,Windows,2.3,45768,0,1,Full HD,141,1000,0,0,0,AMD,Intel Core i7
227,Asus,Notebook,8,Windows,2.0,40972,0,0,Full HD,141,0,256,0,0,Nvidia,Intel Core i5
228,Asus,Notebook,8,Windows,2.69,47472,0,0,Full HD,127,500,256,0,0,Nvidia,Intel Core i5
229,HP,Notebook,8,Windows,1.9,67612,0,0,Full HD,141,1000,0,0,0,AMD,Intel Core i7
230,Asus,Notebook,4,Windows,2.37,21258,0,0,HD,100,1000,0,0,0,Intel,Intel Core i3
231,HP,Notebook,4,Windows,2.1,17582,0,0,HD,100,500,0,0,0,AMD,AMD
232,Lenovo,Gaming,16,Windows,3.2,79866,1,0,Full HD,141,1000,256,0,0,Nvidia,Intel Core i7
233,Dell,Notebook,8,Windows,1.6,45767,0,0,Full HD,157,0,256,0,0,Intel,Intel Core i5
234,Acer,2 in 1 Convertible,8
